,genre,artist,song,lyrics,wordcount,nostopwordcount,positivewordcount,negativewordcount,neutralwordcount
10,Christian,Switchfoot,Always,this is the start this is your heart this is the day you were born this is the sun these are your lungs this is the day you were born and i am always always always yours i am always always always yours these are the scars deep in your heart this is the place you were born this is the hole where most of your soul comes ripping out from the places youve been torn and it is always always always yours i am always always always yours hallelujah im caving in hallelujah im in love again hallelujah im a wretched man hallelujah every breath is a second chance yeah and it is always always always yours i am always always always yours always always always yours always always always yours juro que amo todas tus carencias aunque aprueben mi paciencia amo todo si es contigo,147,75,1,2,72
11,Christian,MercyMe,Bring The Rain,i can count a million times people asking me how i can praise you with all that ive gone through the question just amazes me can circumstances possibly change who i forever am in you maybe since my life was changed long before these rainy days its never really ever crossed my mind to turn my back on you oh lord my only shelter from the storm but instead i draw closer through these times so i pray bring me joy bring me peace bring the chance to be free bring me anything that brings you glory and i know therell be days when this life brings me pain but if thats what it takes to praise you jesus bring the rain i am yours regardless of the dark clouds that may loom above because you are much greater than my pain so i pray bring me joy bring me peace bring the chance to be free bring me anything that brings you glory and i know therell be days when this life brings me pain but if thats what it takes to praise you jesus bring the rain holy holy holy holy holy holy is the lord god almighty is the lord god almighty and i forever sing holy holy holy holy holy holy is the lord god almighty is the lord god almighty everybody sing it holy holy holy holy holy holy is the lord god almighty is the lord god almighty you are holy you are holy lord you are holy is the lord our god is the lord our god almighty yeah yeah yeah everybody sing it holy you are holy oh holy holy holy yeah yeah yeah is the lord god almighty is the lord god almighty yeah yeah yeah yeah holy holy holy holy holy holy is the lord god almighty is the lord god almighty,312,177,44,4,129
12,Christian,Chris Tomlin,Indescribable,we do not have the lyrics for indescribable yet,9,3,0,0,3
13,Christian,MercyMe,Word of God Speak,im finding myself at a loss for words and the funny thing is its okay the last thing i need is to be heard but to hear what you would say word of god speak would you pour down like rain washing my eyes to see your majesty to be still and know that youre in this place please let me stay and rest in your holiness word of god speak im finding myself in the midst of you beyond the music beyond the noise all that i need is to be with you and in the quiet hear your voice word of god speak would you pour down like rain washing my eyes to see your majesty to be still and know that youre in this place please let me stay and rest in your holiness word of god speak would you pour down like rain washing my eyes to see your majesty to be still and know that youre in this place please let me stay and rest in your holiness im finding myself at a loss for words and the funny thing is its okay,188,95,7,5,83
14,Christian,Chris Tomlin,Jesus Messiah,we do not have the lyrics for jesus messiah yet,10,4,0,0,4
15,Christian,Chris Tomlin,I Will Rise,we do not have the lyrics for i will rise yet,11,3,0,0,3
16,Christian,Chris Tomlin,Amazing Grace (My Chains Are Gone),amazing grace how sweet the sound that saved a wretch like me i once was lost but now im found was blind but now i see twas grace that taught my heart to fear and grace my fears relieved how precious did that grace appear the hour i first believed my chains are gone ive been set free my god my savior has ransomed me and like a flood his mercy reigns un love amazing grace the lord has promised good to me his word my hope secures he will my shield and portion be as long as life endures my chains are gone ive been set free my god my savior has ransomed me and like a flood his mercy reigns un love amazing grace my chains are gone ive been set free my god my savior has ransomed me and like a flood his mercy reigns un love amazing grace the earth shall soon dissolve like snow the sun forbear to shine but god who called me here below will be forever mine will be forever mine you are forever mine,183,102,33,5,64
17,Christian,Third Day,Cry Out To Jesus,to everyone whos lost someone they love long before it was their time you feel like the days you had were not enough when you said goodbye and to all of the people with burdens and pains keepin you back from your life you believe that theres nothing and there is no one who can make it right there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing hell meet you wherever you are cry out to jesus cry out to jesus for the marriage thats struggling just to hang on have lost all of their faith in love and theyve done all they can to make it right again still its not enough for the ones who cant break the addictions and chains you try to give up but you come back again just remember that youre not alone in your shame and your suffering there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing hell meet you wherever you are cry out to jesus when youre lonely and it feels like the whole world is falling on you you just reach out you just cry out to jesus cry to jesus to the widow who suffers from being alone wipin the tears from her eyes for the children around the world without a home say a prayer tonight there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing that meets you wherever you are there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing that meets you wherever you are cry out to jesus cry out to jesus cry out to jesus cry out to jesus,324,146,21,34,91
18,Christian,Phillips Craig And Dean,Revelation Song,worthy is the lamb who was slain holy holy is he sing a new song to him who sits on heavens mercy seat worthy is the lamb who was slain holy holy is he sing a new song to him who sits on heavens mercy seat holy holy holy is the lord god almighty who was and is and is to come with all creation i sing praise to the king of kings you are my everything and i will adore you clothed in rainbows of living color flashes of lightning rolls of thunder blessing and honor strength and glory and power be to you the only wise king holy holy holy is the lord god almighty who was and is and is to come with all creation i sing praise to the king of kings you are my everything and i will adore you i will adore you filled with wonder awestruck wonder at the mention of your name jesus your name is power breath and living water such a moment mystery oh youre worthy mystery you are are worthy yes holy holy holy is the lord god almighty who was and is and is to come with all creation i sing praise to the king of kings you are my everything and i will adore you i will adore you,222,103,34,2,67
19,Christian,John Waller,While I'm Waiting,we do not have the lyrics for while im waiting yet,11,4,0,0,4
20,Christian,Rich Mullins,Awesome God,when he rolls up his sleeves he aint just putting on the ritz our god is an awesome god theres thunder in his footsteps and lightning in his fists our god is an awesome god and the lord wasnt joking when he kicked em out of eden it wasnt for no reason that he shed his blood his return is very close and so you better be believing that our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god and when the sky was starless in the void of the night our god is an awesome god he spoke into the darkness and created the light our god is an awesome god judgement and wrath he poured out on sodom mercy and grace he gave us at the cross i hope that we have not too quickly forgotten that our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god  our god is an awesome god he reigns from heaven above  he reigns from heaven above with wisdom power and love  with wisdom power and love our god is an awesome god our god is an awesome god our god is an awesome god,323,153,50,2,101
21,Christian,Nicole C. Mullen,Redeemer,who taught the sun where to stand in the morning and who told the ocean you can only come this far and who showed the moon where to hide till evening whose words alone can catch a falling star well i know my redeemer lives i know my redeemer lives all of creation testifies this life within me cries i know my redeemer lives yeeeah the very same god that spins things in orbit runs to the weary the worn and the weak and the same gentle hands that hold me when im broken they conquered death to bring me victory now i know my redeemer lives i know my redeemer lives let all creation testify let this life within me cry iii know my redeemer he lives to take away my shame and he lives forever ill proclaim that the payment for my sin was the precious life he gave and now hes alive and theres an empty grave and i know my redeemer lives he lives i know my redeemer lives let all creation testify let this life within me cry iii know my redeemer i know my redeemer lives i know my redeemer lives i know that i know that i know that i know that i know he lives because he lives i can face tomorrow he lives i know i know he lives i spoke with him this morning he lives the tomb is empty he lives im going to tell everybody,247,132,4,10,118
22,Christian,TobyMac,City On Our Knees,if you gotta start somewhere why not here if you gotta start sometime why not now if we gotta start somewhere i say here if we gotta start sometime i say now through the fog there is hope in the distance from cathedrals to third world missions love will fall to the earth like a crashing wave tonights the night for the sinners and the saints two worlds collide in a beautiful display its all love tonight when we step across the line we can sail across the sea to a city with one king a city on our knees a city on our knees oh if you gotta start somewhere why not here if you gotta start sometime why not now if we gotta start somewhere i say here if we gotta start sometime i say now through the fog there is hope in the distance from cathedrals to third world missions love will fall to the earth like a crashing wave tonights the night for the sinners and the saints two worlds collide in a beautiful display its all love tonight when we step across the line we can sail across the sea to a city with one king a city on our knees a city on our knees oh tonight couldnt last forever we are one choice from together tonight couldnt last forever oh tonight couldnt last forever we are one choice from together family were family oh tonight couldnt last forever we are one choice from together you and me yeah you and me tonights the night for the sinners and the saints two worlds collide in a glorious display cause its all love tonight when we step across the line we can sail across the sea to a city with one king a city on our knees a city on our knees oh a city on our knees a city on our knees oh if we gotta start somewhere why not here if we gotta start sometime why not now,345,181,10,4,167
23,Christian,Selah,Bless The Broken Road,i set out on a narrow way many years ago hoping i would find true love along the broken road but i got lost a time or two wiped my brow and kept pushing through i couldnt see how every sign pointed straight to you every long lost dream lead me to where you are others who broke my heart they were like northern stars pointing me on my way into your loving arms this much i know is true that god blessed the broken road that lead me straight to you i think about the years i spent just passing through id like to take the time i lost and give it back to you but you just smile and take my hand youve been there you understand its all part of the grander plan that is coming true every long lost dream lead me to where you are others who broke my heart they were like northern stars pointing me on my way into your loving arms this much i know is true that god blessed the broken road that lead me straight to you now im just rolling home into my loving arms this much i know is true that god blessed the broken road that lead me straight to you that god blessed the broken road that lead me straight to you,226,117,14,11,92
24,Christian,Switchfoot,This Is Home,ive got my memories theyre always inside of me but i cant go back back to how it was i believe in now ive come too far now i cant go back back to how it was  created for a place ive never known this is home now im finally where i belong where i belong yeah this is home ive been searching for a place of my own now ive found it maybe this is home yeah this is home  belief over misery ive seen the enemy and i wont go back back to how it was and i got my heart set on what happens next i got my eyes wide its not over yet we are miracles and were not alone this is home now im finally where i belong where i belong yeah this is home ive been searching for a place of my own now ive found it maybe this is home yeah this is home and now after all my searching after all my questions im gonna call it home i got a brand new mindset i can finally see the sunset im gonna call it home this is home now im finally where i belong where i belong yeah this is home ive been searching for a place of my own now ive found it maybe this is home yeah this is home now i know yeah this is home ive come too far and i wont go back yeah this is home ,252,121,1,2,118
25,Christian,Michael W. Smith,Above All,above all powers above all kings above all nature and all created things above all wisdom and all the ways of man you were here before the world began above all kingdoms above all thrones above all wonders the world has ever known above all wealth and treasures of the earth theres no way to measure what youre worth crucified laid behind a stone you lived to die rejected and alone like a rose trampled on the ground you took the fall and thought of me above all above all powers above all powers above all kings above all nature and all created things above all wisdom and all the ways of man you were here before the world began above all kingdoms above all thrones above all wonders the world has ever known above all wealth and treasures of the earth theres no way to measure what youre worth crucified laid behind a stone you lived to die rejected and alone like a rose trampled on the ground you took the fall and thought of me above all crucified laid behind a stone you lived to die rejected and alone like a rose trampled on the ground you took the fall and thought of me above all like a rose trampled on the ground you took the fall and thought of me above all thank you jesus hallelujah,229,104,11,10,83
26,Christian,Casting Crowns,Voice of Truth,"oh what i would do to have the kind of faith it takes to climb out of this boat im in onto the crashing waves to step out of my comfort zone into the realm of the unknown where jesus is and hes holding out his hand but the waves are calling out my name and they laugh at me reminding me of all the times ive tried before and failed the waves they keep on telling me time and time again ""boy youll never win"" ""youll never win"" but the voice of truth tells me a different story the voice of truth says ""do not be afraid"" and the voice of truth says ""this is for my glory"" out of all the voices calling out to me i will choose to listen and believe the voice of truth oh what i would do to have the kind of strength it takes to stand before a giant with just a sling and a stone surrounded by the sound of a thousand warriors shaking in their armor wishing theyd have had the strength to stand but the giants calling out my name and he laughs at me reminding me of all the times ive tried before and failed the giant keeps on telling me time and time again ""boy youll never win"" ""youll never win"" but the voice of truth tells me a different story the voice of truth says ""do not be afraid"" and the voice of truth says ""this is for my glory"" out of all the voices calling out to me i will choose to listen and believe the voice of truth but the stone was just the right size to put the giant on the ground and the waves they dont seem so high on top of them lookin down i will soar with the wings of eagles when i stop and listen to the sound of jesus singing over me but the voice of truth tells me a different story the voice of truth says ""do not be afraid"" and the voice of truth says ""this is for my glory"" out of all the voices calling out to me calling out to me i will choose to listen and believe i will choose to listen and believe the voice of truth i will listen and believe i will listen and believe the voice of truth i will listen and believe cause jesus you are the voice of truth and i will listen to you you are",440,198,11,7,180
27,Christian,The Katinas,Thank You,just a little while longer i wanna pray cant get you off my mind so i came to say thank you lord just for loving me alright many times i do forget every need that you have met oh thank you lord i know youre showing me you are there when i am down and out youre holding me your love is so amazing oh it changed me here i am with all i have raise my hands to worship you i wanna say thank you oh thank you for everything for who you are you cover me and touch my heart i wanna say thank you i could have died in my sin but you saved me didnt have any hope at all you gave me peace divine strength to carry on alright i should have been the one to pay but instead you took my place amazing grace its more than just a song even though i dont deserve your love for me you look beyond my fault and you showed me mercy here i am with all i have raise my hands to worship you i wanna say thank you oh thank you for everything for who you are you cover me and touch my heart i wanna say thank you i wanna say thank you for the sun lord we thank you for the rain oh lord i love you thank you thats all that i can say thank you for the love you gave here i am with all i have raise my hands to worship you i wanna say thank you oh thank you for everything for who you are you cover me and touch my heart i wanna say thank you thank you i wanna say thank you thank you i wanna say thank you i wanna say thank you i wanna say thank you,324,148,32,3,113
28,Christian,Tenth Avenue North,Hold My Heart,how long must i pray must i pray to you how long must i wait must i wait for you how long till i see your face see you shining through im on my knees begging you to notice me im on my knees father will you turn to me yeah one tear in the dropping rain one voice in a sea of pain could the maker of the stars hear the sound of my breaking heart one life is all i am right now i can barely stand if youre everything you say you are would you come close and hold my heart ive been so afraid afraid to close my eyes so much can slip away before i say goodbye but if theres no other way im done asking why cause im on my knees begging you to turn to me im on my knees father will you run to me yeah one tear in the dropping rain one voice in a sea of pain could the maker of the stars hear the sound of my breaking heart one life is all i am right now i can barely stand if youre everything you say you are would you come close and hold my heart so many questions without answers your promises remain i cant see but ill take my chances to hear you call my name to hear you call my name one tear in the dropping rain one voice in a sea of pain could the maker of the stars hear the sound of my breaking heart one life is all i am right now i can barely stand if youre everything you say you are would you come close and hold my heart hold my heart could you hold my heart hold my heart,299,158,4,10,144
