,genre,artist,song,lyrics,wordcount,nostopwordcount,positivewordcount,negativewordcount,neutralwordcount
169,Country,Clint Black,Killin' Time,you were the first thing that i thought of when i thought i drank you off my mind when i get lost in the liquor you're the only one i find if i did the things i oughta you still would not be mine so i'll keep a tight grip on the bottle gettin' loose and killin' time this killin' time is killin' me drinking myself blind thinkin' i won't see that if i cross that line and they bury me well i just might find i'll be killin' time for eternity i don't know nothin' 'bout tomorrow i've been lost in yesterday i've spent all my life just dying for a love that passed away there's an end to all my sorrow this is the only price i'll pay i'll be a happy man when i go and i can't wait another day this killin' time is killin' me drinking myself blind thinkin' i won't see that if i cross that line and they bury me well i just might find i'll be killin' time for eternity yes i just might find i'll be killin' time for eternity,215,113,4,7,102
170,Country,Roger Miller,King Of The Road,trailer for sale or rent rooms to let fifty cents no phone no pool no pets i ain't got no cigarettes ah but two hours of pushin' broom buys an eight by twelve fourbit room i'm a man of means by no means king of the road third boxcar midnight train destination bangor maine old worn out clothes and shoes i don't pay no union dues i smoke old stogies i have found short but not too big around i'm a man of means by no means king of the road i know every engineer on every train all of their children and all of their names and every handout in every town and every lock that ain't locked when no one's around i sing trailers for sale or rent rooms to let fifty cents no phone no pool no pets i ain't got no cigarettes ah but two hours of pushin' broom buys an eight by twelve fourbit room i'm a man of means by no means king of the road,182,110,0,2,108
171,Country,Bill Anderson,Still,still though you broke my heart still though we're far apart i love you still still after all this time still you're still on my mind i love you still i've lost count of the hours and i've lost track of the days in fact i've lost just about everything since you went away i love you still everything that is except the memories you left me and that's one things that no one can mar i don't know who you're with i don't even know where you've gone my only hope is that some day you might hear this song and you'll know i wrote it especially for you i love you still and i love you wherever you are still after all this time still you're still on my mind i love you still this flame in my heart is like an eternal fire for every day it burns hotter and every day it burns higher i love you still and i haven't been able to put out one little flicker not even with all of these tears my friends all think i'm crazy and maybe i am but i'll carry this torch just as long as i can for someday you might just decide to come home i love you still and i want you to know i'm still here still though you broke my heart still though you're far apart i love you still,255,128,10,10,108
172,Country,Osborne Brothers,Rocky Top,wish that i was on ol' rocky top down in the tennessee hills ain't no smoggy smoke on rocky top ain't no telephone bills once i had a girl on rocky top half bear other half cat wild as a mink but sweet as soda pop i still dream about that rocky top you'll always be home sweet home to me good ol' rocky top rocky top tennessee rocky top tennessee once two strangers climbed ol' rocky top lookin' for a moonshine still strangers ain't come down from rocky top reckon they never will corn won't grow at all on rocky top dirt's too rocky by far that's why all the folks on rocky top get their corn from a jar rocky top you'll always be home sweet home to me good ol' rocky top rocky top tennessee rocky top tennessee i've had years of cramped up city life trapped like a duck in a pen all i know is it's a pity life can't be simple again rocky top you'll always be home sweet home to me good ol' rocky top rocky top tennessee rocky top tennessee rocky top tennessee,209,140,28,27,85
173,Country,The Statler Brothers,Flowers On The Wall,"the statler brothers miscellaneous flowers on the wall flowers on the wall artists the statler brothers peak billboard position # 4 in 1966 words and music by lewis dewitt i keep hearin' you're concerned about my happiness but all that thought you're givin' me is conscience i guess if i was walkin' in your shoes i wouldn't worry none while you 'n' your friends are worried about me i'm havin' lots of fun  countin' flowers on the wall that don't bother me at all playin' solitaire till dawn with a deck of fiftyone smokin' cigarettes and watchin' captain kangaroo now don't tell me i've nothin' to do last night i dressed in tails pretended i was on the town as long as i can dream it's hard to slow this swinger down so please don't give a thought to me i'm really doin' fine you can always find me here i'm havin' quite a time  it's good to see you i must go i know i look a fright anyway my eyes are not accustomed to this light and my shoes are not accustomed to this hard concrete so i must go back to my room and make my day complete  don't tell me i've nothin' to do transcribed by ronald e hontz <a class""__cf_email__"" datacfemail""34465b5a5c5b5a404e74435b4658505a51401a5540401a5a5140"" href""/cdncgi/l/emailprotection"">email protected</a>",261,153,5,9,139
174,Country,Harry McClintock,Big Rock Candy Mountain,"one evening as the sun went down and the jungle fire was burning down the track came a hobo hiking and he said ""boys i'm not turning” “i'm headed for a land that's far away besides the crystal fountains so come with me we'll go and see the big rock candy mountains” in the big rock candy mountains there's a land that's fair and bright where the handouts grow on bushes and you sleep out every night where the boxcars all are empty and the sun shines every day and the birds and the bees and the cigarette trees the lemonade springs where the bluebird sings in the big rock candy mountains in the big rock candy mountains all the cops have wooden legs and the bulldogs all have rubber teeth and the hens lay softboiled eggs the farmers' trees are full of fruit and the barns are full of hay oh i'm bound to go where there ain't no snow where the rain don't fall the winds don't blow in the big rock candy mountains in the big rock candy mountains you never change your socks and the little streams of alcohol come trickling down the rocks the brakemen have to tip their hats and the railway bulls are blind there's a lake of stew and of whiskey too you can paddle all around it in a big canoe in the big rock candy mountains in the big rock candy mountains the jails are made of tin and you can walk right out again as soon as you are in there ain't no shorthandled shovels no axes saws nor picks i'm goin' to stay where you sleep all day where they hung the jerk that invented work in the big rock candy mountains i'll see you all this coming fall in the big rock candy mountains",327,178,4,8,166
175,Country,John Michael Montgomery,I Swear,i see the questions in your eyes i know what's weighing on your mind but you can be sure i know my part 'cause i'll stand beside you through the years you'll only cry those happy tears and though i'll make mistakes i'll never break your heart i swear by the moon and stars in the sky i'll be there i swear like the shadow that's by your side i'll be there for better or worse till death do us part i'll love you with every beat of my heart i swear i'll give you everything i can i'll build your dreams with these two hands we'll hang some memories on the wall and when there's silver in your hair won't have to ask if i still care 'cause as time turns the page my love won't age at all i swear by the moon and stars in the sky i'll be there i swear like the shadow that's by your side i'll be there for better or worse till death do us part i'll love you with every beat of my heart i swear i swear by the moon and stars in the sky i'll be there i swear like the shadow that's by your side i'll be there for better or worse till death do us part i'll love you with every beat of my heart i swear i swear,255,125,11,10,104
176,Country,Kenny Chesney,How Forever Feels,big orange ball sinkin' in the water toes in the sand couldn't get much hotter little umbrella shaped margaritas coconut oil tan senoritas oh now i know how jimmy buffet feels hands on the wheel cruisin' down the interstate gas pedal sticks carries my car away i was going as fast as a rambler goes i could feel the speed from my head to my toes oh now i know how richard petty feels well i've been around the block a time or two done almost everything a boy can do i've done some livin' yeah i've had fun but there is one thing that i haven't done saved two months bought a little diamond tonight's the night feels like perfect timin' down on one knee on momma's front steps man i'm gonna die if she really says yes i wanna know how forever feels well i've been around the block a time or two done almost everything a boy can do i've done some livin' yeah i've had fun but there is one thing that i haven't done i wanna know how forever feels hey i wanna know how forever feels girl i wanna know how forever feels,221,143,7,2,134
177,Country,Dolly Parton,Jolene,dolly parton greatest hits jolene jolene jolene jolene jolene i'm begging of you please don't take my man jolene jolene jolene jolene please don't take him just because you can your beauty is beyond compare with flaming locks of auburn hair with ivory skin and eyes of emerald green your smile is like a breath of spring your voice is soft like summer rain and i cannot compete with you jolene he talks about you in his sleep there's nothing i can do to keep from crying when he calls your name jolene and i can easily understand how you could easily take my man but you don't know what he means to me jolene jolene jolene jolene jolene i'm begging of you please don't take my man jolene jolene jolene jolene please don't take him just because you can you could have your choice of men but i could never love again he's the only one for me jolene i had to have this talk with you my happiness depends on you and whatever you decide to do jolene jolene jolene jolene jolene i'm begging of you please don't take my man jolene jolene jolene jolene please don't take him even though you can jolene jolene,220,117,8,3,106
178,Country,Hank Locklin,Please Help Me I'm Falling,please help me i'm falling in love with you close the door to temptation don't let me walk through turn away from me darling i'm begging you to please help me i'm falling in love with you i belong to another whose arms have grown cold but i promised forever to have and to hold i can never be free dear but when i'm with you i know that i'm losing the will to be true please help me i'm falling and that would be sin close the door to temptation don't let me walk in for i mustn't want you but darling i do please help me i'm falling in love with you,124,59,7,10,42
179,Rock,Black Sabbath,Paranoid,finished with my woman because she couldn't help me with my mind people think i'm insane because i am frowning all the time all day long i think of things but nothing seems to satisfy think i'll lose my mind if i don't find something to pacify  can you help me occupy my brain oh yeah  i need someone to show me the things in life that i can't find i can't see the things that make true happiness i must be blind  make a joke and i will sigh and you will laugh and i will cry happiness i cannot feel like love to me is so unreal  and so as you hear these words telling you now of my state i tell you to enjoy life i wish i could but it's too late,144,70,7,5,58
180,Rock,Nirvana,Smells Like Teen Spirit .,load up on guns and bring your friends it's fun to lose and to pretend she's overbored and selfassured oh no i know a dirty word hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yay i'm worse at what i do best and for this gift i feel blessed our little group has always been and always will until the end hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yay and i forget just why i taste oh yeah i guess it makes me smile i found it hard it's hard to find oh well whatever nevermind hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido a denial a denial a denial a denial a denial a denial a denial a denial a denial,260,147,12,24,111
181,Rock,Santana,Whole Lotta Love,you need coolin' baby i'm not foolin' i'm gonna send you back to schoolin' way down inside honey you need it i'm gonna give you my love i'm gonna give you my love wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love you've been learnin' baby i bean learnin' all them good times baby baby i've been yearnin' way way down inside honey you need it i'm gonna give you my love i'm gonna give you my love wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love you've been coolin' baby i've been droolin' all the good times baby i've been misusin' way way down inside i'm gonna give you my love i'm gonna give you every inch of my love gonna give you my love wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love way way down inside woman you need love shake for me girl i wanna be your back door man keep it coolin' baby keep it coolin' baby keep it coolin' baby,243,184,24,1,159
182,Rock,Aerosmith,Walk This Way [Live],backstroker lover always hidin' 'neath the covers 'till you talked to my daddy he say he said you ain't seen nothin' 'till you're down on a muffin then you're sure to be a changin' your way i met a cheerleader was a real young bleeder oh the times i could reminisce oh the best thing a lover wit her sister and her cousin started with a little kiss like this seesaw swingin' with the boys in the school with your feet flyin' up in the air singin' hey diddle diddle with your kitty in the middle of the swing like i didn't care so i took a big chance at the high school dance missy who was ready to play wasn't me she was foolin' she knew what she was doin' told me how to walk this way told me to walk this way talk this way walk this way talk this way she told me to walk this way talk this way walk this way talk this way well just gimme a like this schoolgirl sweetie with a classy little sassy got her skirt climbin' way up her knee there was three young ladies in the school gym locker when i noticed they was lookin' at moi was a high school loser never made it with a lady 'till the boys told me somethin' i missed then a next door neighbor with a daughter had a favor i gave her just a little kiss like this seesaw swingin' with the boys in the school with your feet flyin' up in the air singin' hey diddle diddy aa diddle diddle like you didn't care so i took a big chance at the high school dance missy who was ready to play wasn't me she was foolin' she knew what she was doin' told me how to walk this way told me to walk this way walk this way walk this way walk this way walk this way walk this way walk this way just gimme a kiss like this yeah yeah yeah,367,205,14,2,189
183,Rock,Deep Purple,Smoke On the Water,we all came out to montreux on the lake geneva shoreline to make records with a mobile we didn't have much time frank zappa and the mothers were at the best place around but some stupid with a flare gun burned the place to the ground smoke on the water fire in the sky smoke on the water they burned down the gambling house it died with an awful sound funky claude was running in and out pulling kids out the ground when it all was over we had to find another place but swiss time was running out it seemed that we would lose the race smoke on the water fire in the sky smoke on the water we ended up at the grand hotel it was empty cold and bare but with the rolling truck stones thing just outside just making our music there with a few red lights and a few old beds we made a place to sweat no matter what we get out of this i know i know we'll never forget smoke on the water fire in the sky smoke on the water,191,90,2,15,73
184,Rock,Van Halen,Runnin' with the Devil,yeah yeah ah yeah i live my life like there's no tomorrow and all i've got i had to steal least i don't need to beg or borrow yes i'm livin' at a pace that kills ooh yeah  ahh runnin' with the devil  ahhhah yeah  woohoooo runnin' with the devil yes i'm yeah hoo ooh you know i i found the simple life ain't so simple when i jumped out on that road i got no love no love you'd call real ain't got nobody waitin' at home ahh yeah runnin' with the devil  hold on hold on i'm runnin' ah yeah runnin' with the devil ooh ooh one more time  hayeah runnin' with the devil  oh yeah yayeah runnin' with the devil  woo woo runnin' with the devil  i'll tell you about it i found the simple life it's so simple when i jumped out on that road i got no love no love you'd call real ain't got nobody waitin' at home  hayeah runnin' with the devil  oh yeah runnin' with the devil  ahha yeah ahha yeah ahhah yeah runnin' with the devil,212,136,7,13,116
185,Rock,Motorhead,Ace Of Spades,"motorhead miscellaneous ace of spades ""ace of spades"" by motorhead if you like to gamble i tell you i'm your man you win some lose some it's all the same to me the pleasure is to play it makes no difference what you say i don't share your greed the only card i need is the ace of spades the ace of spades playin' for the high one dancin' with the devil going with the flow it's all a game to me 7 or 11 snake eyes watching you double up or quit double stake or split the ace of spades the ace of spades you know i'm born to lose and gamblin's made for fools but that's the way i like it baby i don't want to live forever and don't forget the joker pushing up the ante i know you got to see me read 'em and weep the dead man's hand again i see it in your eyes take one look and die the only thing you see you know it's gonna be the ace of spades the ace of spades",200,103,4,10,89
186,Rock,METALLICA,Enter Sandman,say your prayers little one don't forget my son to include everyone i tuck you in warm within keep you free from sin 'til the sandman he comes yeah sleep with one eye open grippin' your pillow tight exit light enter night take my hand off to never never land something's wrong shut the light heavy thoughts tonight and they aren't of snow white dreams of war dreams of liars dreams of dragons fire and of things that will bite yeah sleep with one eye open grippin' your pillow tight exit light enter night take my hand off to never never land now i lay me down to sleep now i lay me down to sleep pray the lord my soul to keep pray the lord my soul to keep if i die before i wake if i die before i wake pray the lord my soul to take pray the lord my soul to take hush little baby don't say a word and never mind that noise you heard it's just the beasts under your bed in your closet in your head exit light enter night grain of sand exit light enter night take my hand off to never never land we're off to never never land  take my hand we're off to never never land  take my hand we're off to never never land,236,144,2,6,136
187,Rock,The Who,Won't Get Fooled Again,we do not have the lyrics for won't get fooled again yet,13,6,0,1,5
188,Rock,Twisted Sister,I Wanna Rock,"i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock turn it down you say well all i got to say to you is time and time again i say ""no"" no no no no no no tell me not to play well all i got to say to you when you tell me not to play i say ""no"" no no no no no no so if you ask me why i like the way i play it there's only one thing i can say to you i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock there's a feelin' that i get from nothin' else and there ain't nothin' in the world that makes me go go go go go go go turn the power up i've waited for so long so i could hear my favorite song so let's go go go go go go go when it's like this i feel the music shootin' through me there's nothin' else that i would rather do i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock rock rock rock rock rock i wanna rock",324,212,5,0,207
189,Rock,Iron Maiden,Run to the Hills,white man came across the sea he brought us pain and misery he killed our tribes he killed our creed he took our game for his own need we fought him hard we fought him well out on the plains we gave him hell but many came too much for cree oh will we ever be set free riding through dust clouds and barren wastes galloping hard on the plains chasing the redskins back to their holes fighting them at their own game murder for freedom a stab in the back women and children and cowards attack run to the hills run for your lives run to the hills run for your lives soldier blue in the barren wastes hunting and killing's a game raping the women and wasting the men the only good injuns are tame selling them whiskey and taking their gold enslaving the young and destroying the old run to the hills run for your lives run to the hills run for your lives run to the hills run for your lives run to the hills run for your lives run to the hills run for your lives run to the hills run for your lives,200,108,5,16,87
190,Rock,Judas Priest,Breaking The Law,there i was completely wasting out of work and down all inside it's so frustrating as i drift from town to town feel as though nobody cares if i live or die so i might as well begin to put some action in my life breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law so much for the golden future i can't even start i've had every promise broken there's anger in my heart you don't know what it's like you don't have a clue if you did you'd find yourselves doing the same thing too breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law you don't know what it's like breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law,178,98,6,30,62
191,Rock,Rush,Tom Sawyer,a modern day warrior mean mean stride today's tom sawyer mean mean pride though his mind is not for rent don't put him down as arrogant his reserve a quiet defense riding out the day's events the river what you say about his company is what you say about society catch the mist catch the myth catch the mystery catch the drift the world is the world is love and life are deep maybe as his skies are wide today's tom sawyer he gets high on you and the space he invades he gets by on you no his mind is not for rent to any god or government always hopeful yet discontent he knows changes aren't permanent but change is what you say about his company is what you say about society catch the witness catch the wit catch the spirit catch the spit the world is the world is love and life are deep maybe as his eyes are wide exit the warrior today's tom sawyer he gets high on you and the energy you trade he gets right on to the friction of the day,194,103,7,6,90
192,Rock,Santana,Photograph,i'm outta luck outta love gotta photograph picture of passion killer you're too much you're the only one i wanna touch i see your face every time i dream on every page every magazine so wild and free so far from me you're all i want my fantasy oh look what you've done to this rock 'n' roll clown oh look what you've done photograph i don't want your photograph i don't need your photograph all i've got is a photograph i'd be your lover if you were there put your hurt on me if you dare such a woman you got style you make every man feel like a child oh you got some kinda hold on me you're all wrapped up in mystery so wild and free so far from me you're all i want my fantasy oh look what you've done to this rock 'n' roll clown oh look what you've done i gotta have you photograph i don't want your photograph i don't need your photograph all i've got is a photograph you've gone straight through my head oh look what you've done to this rock 'n' roll clown oh look what you've done i gotta have you photograph i don't want your photograph i don't need your photograph all i've got is a photograph i wanna touch you photograph photograph photograph photograph photograph photograph photograph photograph,265,151,7,5,139
193,Rock,Bon Jovi,You Give Love a Bad Name,shot through the heart and you're to blame darlin' you give love a bad name an angel's smile is what you sell you promise me heaven then put me through hell chains of love got a hold on me when passion's a prison you can't break free oh you're a loaded gun yeah oh there's nowhere to run no one can save me the damage is done shot through the heart and you're to blame you give love a bad name bad name i play my part and you play your game you give love a bad name bad name hey you give love a bad name paint your smile on your lips blood red nails on your fingertips a school boy's dream you act so shy your very first kiss was your first kiss goodbye whoa you're a loaded gun whoa there's nowhere to run no one can save me the damage is done shot through the heart and you're to blame you give love a bad name bad name i play my part and you play your game you give love a bad name bad name you give love oh oh shot through the heart and you're to blame you give love a bad name i play my part and you play your game you give love a bad name bad name shot through the heart and you're to blame you give love a bad name bad name i play my part and you play your game you give love a bad name bad name you give love you give love bad name you give love you give love bad name you give love you give love bad name you give love you give love,301,181,29,30,122
194,Rock,Led Zeppelin,Kashmir,oh let the sun beat down upon my face stars to fill my dreams i am a traveler of both time and space to be where i have been secret elders of the gentle race this world is seldom seen they talk of days for which they sit and wait all will be revealed talk and song from tongues of lilting grace whose sounds caress my ear but not a word i heard could i relate the story was quite clear woah woah ooh oh baby i been flying lord yeah mama there ain't no denyin' oh ooh yes i've been flying mama ma ain't no denyin' no denyin' oh all i see turns to brown as the sun burns the ground and my eyes fill with sand as i scan this wasted land trying to find trying to find where i been oh pilot of the storm who leaves no trace like thoughts inside a dream heed the path that led me to that place yellow desert screen my shangrila beneath the summer moon i will return again sure as the dust that floats high in june when movin' through kashmir oh father of the four winds fill my sails across the sea of years with no provision but an open face 'long the straits of fear woah woah woah oh well when i want when i'm on my way yeah when i see when i see the way you stay yeah ooh yeah yeah ooh yeah yeah well i'm down yes ooh yeah yeah ooh yeah yeah well i'm down so down ooh my baby ooh my baby let me take you there oh oh come on come on oh let me take you there let me take you there ooh yeah yeah ooh yeah yeah,308,178,8,5,165
195,Rock,Motley Crue,Dr Feelgood,"motley crue dr feelgood dr feelgood rattailed jimmy is a second hand hood he deals out in hollywood got a '65 chevy primered flames traded for some powdered goods jigsaw jimmy he's runnin' a gang but i hear he's doin' ok got a cozy little job sells the mexican mob packages of candycaine he's the one they call dr feelgood he's the one that makes ya feel alright he's the one they call dr feelgood cops on the corner always ignore somebody's getting paid jimmy's got it wired law's for hire got it made in the shade got a little hideaway does business all day but at night he'll always be found selling sugar to the sweet people on the street call this jimmy's town he's the one they call dr feelgood he's the one that makes ya feel alright he's the one they call dr feelgood he's gonna be your frankenstien i've got one thing you'll understand he's not what you'd call a glamorous man got one thing that's easily understood he's the one they call dr feelgood he'll tell you he's the king of these barrio streets moving up to shangrila came by his wealth as a matter of luck says he never broke no law two time loser running out of juice time to move out quick heard a rumour going round jimmy's going down this time it's gonna stick he's the one they call dr feelgood he's the one that makes ya feel alright he's the one they call dr feelgood he's gonna be your frankenstien let him soothe your soul just take his hand some people call him an evil man let him introduce himself real good he's the only one they call ""feelgood""",325,210,6,5,199
196,Rock,Kiss,Rock and Roll All Nite,you show us everything you've got you keep on dancin' and the room gets hot you drive us wild we'll drive you crazy you say you wanna go for a spin the party's just begun we'll let you in you drive us wild we'll drive you crazy you keep on shoutin' you keep on shoutin' i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day you keep on saying you'll be mine for a while you're lookin' fancy and i like your style you drive us wild we'll drive you crazy you show us everything you've got baby baby that's quite a lot and you drive us wild we'll drive you crazy you keep on shoutin' you keep on shoutin' i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day you keep on shoutin' you keep on shoutin' i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day,318,203,3,8,192
197,Rock,OZZY OSBOURNE,Crazy Train,crazybut that's how it goes millions of people living as foes maybe it's not too late to learn how to love and forget how to hate mental wounds not healing driving me insane i'm going off the rails on a crazy train i've listened to preachers i've listened to fools i've watched all the dropouts who make their own rules one person conditioned to rule and control the media sells it and you live the role mental wounds still screaming driving me insane i'm going off the rails on a crazy train i know that things are going wrong for me you gotta listen to my words yeah heirs of a cold war that's what we've become inheriting troubles i'm mentally numb crazy i just cannot bear i'm living with something that just isn't fair mental wounds not healing who and what's to blame i'm going off the rails on a crazy train,169,92,2,16,74
198,Rock,The Ramones,Blitzkrieg Bop,aey oh let's go aey oh let's go aey oh let's go aey oh let's go they're formin' in a straight line they're goin' through a tight one the kids are losin' their minds the blitzkrieg bop they're pilin' in the back seat they generate steam heat pulsatin' to the back beat the blitzkrieg bop aey oh let's go shoot 'em in the back now what they want i don't know they're all reaved up and ready to go they're formin' in a straight line they're goin' through a tight one the kids are losin' their minds the blitzkrieg bop they're pilin' in the back seat they generate steam heat pulsatin' to the back beat the blitzkrieg bop aey oh let's go shoot 'em in the back now what they want i don't know they're all reaved up and ready to go they're formin' in a straight line they're goin' through a tight one the kids are losin' their minds the blitzkrieg bop they're pilin' in the back seat they generate steam heat pulsatin' to the back beat the blitzkrieg bop aey oh let's go aey oh let's go aey oh let's go aey oh let's go,235,160,2,0,158
199,Rock,Whitesnake,Still of the Night,in the still of the night i hear the wolf howl honey sniffing around your door in the still of the night i feel my heart beating heavy telling me i gotta have more in the shadow of night i see the full moon rise telling me what's in store my heart start aching my body start a shaking and i can't take no more no no no now i just wanna get close to you and taste your love so sweet and i just wanna make love to you feel your body heat in the still of the night in the still of the night over here baby in the heat of the day i hang my head down low and hide my face from the sun through the light of the day until the evening time i'm waiting for the night to come ooh baby in the still of the night in the cool moonlight i feel heart is aching in the still of the night ooh baby ooh babe i can't keep away inaudible need to be closer i can't keep away can't keep away can't keep away i can't keep away no you gotta give me love got to give me some loving everyday can't keep away ooh baby ooh lord ahh tell me here baby in the still of the night i hear the wolf howl honey sniffing around your door in the still of the night i feel my heart beating heavy telling me i gotta have more ooh mama now i just wanna get close to you and taste your love so sweet and i just wanna make love to you feel your body heat in the still of the night oh yeah in the still of the night i will be incomprehensible 'round your door  in the still of the night in the still of the night ain't nothing gonna stop me now still of the night still of the night still of the night still of the night still of the night still of the night still of the night still of the night still of the night ,375,199,9,5,185
200,Rock,The Jimi Hendrix Experience,Hey Joe,hey joe where you goin' with that gun in your hand hey joe i said where you goin' with that gun in your hand i'm going down to shoot my old lady you know i've caught her messin' around with another man i'm going down to shoot my old lady you know i've caught her messin' around with another man and that ain't too cool hey joe i've heard you shot your woman down shot her down now i said i've heard you shot your old lady down you shot her down to the ground yes i did i shot her you know i caught her messin' round messin' round town yes i did i shot her you know i caught my old lady messin' around town and i gave her the gun i shot her hey joe alright shoot her one more time baby hey joe said now where you gonna run to now where you gonna run to hey joe i said where you gonna run to now where you where you gonna go well dig it i'm goin' way down south way down to mexico way alright i'm goin' way down south way down where i can be free ain't no one gonna find me ain't no hangman gonna he ain't gonna put a rope around me you better believe it right now i gotta go now hey joe you better run on down good by everybody hey joe uhh run on down,275,158,7,0,151
201,Rock,Iron Butterfly,In-A-Gadda-Da-Vida,inagaddadavida honey don't you know that i love you inagaddadavida baby don't you know that i'll always be true oh won't you come with me and take my hand oh won't you come with me and walk this land please take my hand inagaddadavida honey don't you know that i love you inagaddadavida baby don't you know that i'll always be true oh won't you come with me and take my hand oh won't you come with me and walk this land please take my hand inagaddadavida honey don't you know that i love you inagaddadavida baby don't you know that i'll always be true oh won't you come with me and take my hand oh won't you come with me and walk this land please take my hand,144,81,3,0,78
202,Rock,Lynyrd Skynyrd,Freebird,if i leave here tomorrow would you still remember me for i must be traveling on now 'cause there's too many places i've got to see but if i stayed here with you girl things just couldn't be the same 'cause i'm as free as a bird now and this bird you cannot change oh oh oh oh oh and the bird you cannot change and this bird you cannot change lord knows i can't change bye bye baby it's been a sweet love yeah yeah though this feeling i can't change but please don't take it so badly 'cause the lord knows i'm to blame but if i stayed here with you girl things just couldn't be the same 'cause i'm as free as a bird now and this bird you cannot change oh oh oh oh oh and this bird you cannot change and this bird you cannot change lord knows i can't change lord help me i can't change lord i can't change won't you fly high freebird yeah,193,101,4,2,95
203,Rock,Foo Fighters,Everlong,"foo fighters the colour and the shape everlong hello i've waited here for you everlong tonight i throw myself into and out of the red out of her head she sang come down and waste away with me down with me slow out you wanted it to be over my head out of my head she sang <span class""icomment"" datachunkid""7043"" href""http//wwwsonglyricscom/annot7043"">and i wonder when i sing along with you if everything could ever feel this real forever if anything could ever be this good again the only thing i'll ever ask of you you've got to promise not to stop when i say when she sang breathe out so i can breathe you in hold you in and now i know you've always been out of your head out of my head i sang and i wonder if everything could ever feel this real forever if anything could ever be this good again the only thing i'll ever ask of you you've got to promise not to stop when i say when",190,89,6,2,81
204,Rock,Pearl Jam,Even Flow,freezin' rests his head on a pillow made of concrete again oh feelin' maybe he'll see a little better set a days oh hand out faces that he sees time again ain't that familiar oh dark grin he can't help when he's happy looks insane yeah even flow thoughts arrive like butterflies oh he don't know so he chases them away yeah oh someday yet he'll begin his life again life again life again kneeling looking through the paper though he doesn't know to read oh praying now to something that has never showed him anything oh feeling understands the weather of the winters on its way oh ceilings few and far between all the legal halls of shame yeah even flow thoughts arrive like butterflies oh he don't know so he chases them away oh someday yet he'll begin his life again oh whispering hands gently lead him away him away him away yeah oh even flow thoughts arrive like butterflies oh he don't know so he chases them away yeah someday yet he'll begin his life again maybe in the next life whispering hands gently lead him away him away him away yeah,208,137,8,3,126
205,Rock,Ted Nugent,Cat Scratch Fever,ted nugent miscellaneous cat scratch fever well i don't know where they come from but they sure do come i hope they comin' for me and i don't know how they do it but they sure do it good i hope they doin' it for free  they give me cat scratch fever cat scratch fever  the first time that i got it i was just ten years old i got it from some kitty next foor i went and see the dr and he gave me the cure i think i got it some more  they give me cat scratch fever cat scratch fever  it's nothin dangerous i feel no pain i've got to chchchange you know you got it when you're going insane it makes a grown man cryin' cryin' won't you make my bed  i make the pussy purr with the stroke of my hand they know they gettin' it from me they know just where to go when they need their lovin man they know i do it for free  they give me cat scratch fever cat scratch fever,193,100,5,18,77
