,genre,artist,song,lyrics
10,Rhythm and Blues,The Four Tops,Reach Out I'll Be There,now if you feel that you cant go on cant go on because all of your hope is gone all your hope is gone and your life is filled with much confusion much confusion until happiness is just an illusion happiness is just an illusion and your world around is crumbling down darlin reach out come on girl reach on out for me reach out reach out for me ill be there with a love that will shelter you ill be there with a love that will see you through when you feel lost and about to give up to give up cause your life just aint good enough just aint good enough and your feel the world has grown cold has grown cold and your drifting out all on your own drifting out on your own and you need a hand to hold darlin reach out come on girl reach out for me reach out reach out for me ill be there to love and comfort you and ill be there to cherish and care for you ill be there to always see you through ill be there to love and comfort you i can tell the way you hang your head hang your head your not in love now now your afraid youre afraid and through the tears you look around look around but theres no piece of mind to be found no piece of mind to be found i know what your thinking youre alone now no love of your own but darling reach out come on girl reach out for me reach out reach out just look over your shoulder ill be there to give you all the love you need and ill be there you can always depend on me ill be there to always see you through ill be there to love and comfort you
11,Rhythm and Blues,Wilson Pickett,In The Midnight Hour,im gonna wait till the midnight hour thats when my love come tumbling down im gonna wait till the midnight hour when there no one else around im gonna take you girl and hold you and do all things i told you in the midnight hour yes i am oh yes i am one thing i just wanna say right here im gonna wait till the stars come out and see that twinkle in your eyes im gonna wait till the midnight hour thats when my love begins to shine youre the only girl i know can really love me so in the midnight hour oh yeah in the midnight hour yeah all right play it for me one time now im gonna wait till the midnight hour thats when my love come tumbling down im gonna wait way in the midnight hour thats when my love begin to shine just you and i oh baby just you and i nobody around baby just you and i oh right you know what im gonna hold you in my arms just you and i oh yeah in the midnight hour oh baby in the midnight hour
12,Rhythm and Blues,Jackie Brenston,Rocket 88,you woman have heard of jalopies you heard the noise they make let me introduce you to my rocket 88 yes its great just wont wait everybody likes my rocket 88 baby well will ride in style movin all along v8 motor and this modern design black convertible top and the girls dont mind sportin with me ridin all around town for joy blow your horn rocket blow your horn step in my rocket and dont be late were pullin out about a half past eight goin on the corner and havin some fun takin my rocket on a long hot run ooh goin out oozin and cruisin and havin fun now that youve ridden in my rocket 88 ill be around every night about eight you know its great dont be late everybody likes my rocket 88 girls will ride in style movin all along
13,Rhythm and Blues,Sly and The Family Stone,Everyday People,sometimes im right and i can be wrong my own beliefs are in my song the butcher the thinker the drummer and then makes no difference what group im in i am everyday people yeah there is a blue one who cant accept the green one for living with a fat one trying to be a skinny one different strokes for different folks and so on and so on and scooby dooby dooby we got to live together i am no better and neither are you we are the same whatever we do you love me you hate me you know me and then you cant figure out what bag im in i am everyday people yeah there is a long hair who doesnt like the short hair for being such a rich one that will not help the poor one different strokes for different folks and so on and so on and scooby dooby dooby we got to live together there is a yellow one that wont accept the black one that wont accept the red one that wont accept the white one different strokes for different folks and so on and so on and scooby dooby dooby i am everyday people
14,Rhythm and Blues,Lloyd Price,Lawdy Miss Clawdy,well now lawdy lawdy lawdy miss clawdy girl you sure look good to me well please dont excite me baby know it cant be me because i gave you all my money girl but you just wont treat me right you like to ball in the mornin dont come back till late at night im gonna tell tell my mama girl im gonna tell what you doing to me im gonna tell everybody that im down in misery well lawdy lawdy lawdy miss clawdy girl you sure look good to me you just wheel and rockin baby just as fine as you can be well so bye byebye baby girl i wont be comin no more bye darlin im dying down the road i go
15,Rhythm and Blues,Martha Reeves and The Vandellas,Heat Wave,whenever im with him something inside starts to burning and im filled with desire could it be the devil in me or is this the way loves supposed to be its like a heat wave its burning in my heart i cant keep from burning its tearing me apart whenever he calls my name so softly and plain right then right there i feel that burning flame has high blood pressure got a hold on me is this the way loves supposed to be its like a heat wave its burning in my heart i cant keep from burning its tearing me apart sometimes i stare in space tears all over my face i cant explain it dont understand it i aint never felt like this before now this funny feeling has me amazed dont know what to do my heads in a haze its like a heat wave yeah yeah yeah yeah ha oh yeah yeah yeah yeah yeah oh yeah i feel it burning right here in my heart dont you know its like a heat wave yeah yeah yeah yeah oh dont you know its like a heat wave burning right here in my heart
16,Rhythm and Blues,Funkadelic,One Nation Under A Groove,so wide cant get around it so low you cant get under it so low you cant get under it so high you cant get over it so high you cant get over it dayee do do do do do do this is a chance this is a chance dance your way out of your constrictions tell sugah heres a chance to dance our way out of our constrictions gonna be freakin up and down hang up alley way with the groove our only guide we shall all be moved ready or not here we come gettin down on the one which we believe in one nation under a groove gettin down just for the funk can i get it on my good foot gettin down just for the funk of it good god bout time i got down one time one nation and were on the move nothin can stop us now aye aye aye aye aye feet dont fail me now give you more of what youre funkin for feet dont fail me now do you promise to funk the whole funk nothin but the funk ready or not here we come gettin down on the one which we believe in heres my chance to dance my way out of my constrictions do do dee oh doo do do dee oh doo you can dance away feet dont fail me now ha ha heres a chance to dance our way out of our constrictions gonna be groovin up and down hang up alley way the groove our only guide we shall all be moved feet dont fail me now ha ha givin you more of what youre funkin for feet dont fail me now heres my chance to dance my way out of my constrictions givin you more of what youre funkin for
17,Rhythm and Blues,The Supremes,Baby Love,baby love my baby love i need you oh how i need you but all you do is treat me bad break my heart and leave me sad tell me what did i do wrong to make you stay away so long cause baby love my baby love been missing ya miss kissing ya instead of breaking up lets do some kissing and making up dont throw our love away in my arms why dont you stay need ya need ya baby love baby love baby love my baby love why must we separate my love all of my whole life through i never loved no one but you why you do me like you do i get this need need to hold you once again my love feel your warm embrace my love dont throw our love away please dont do me this way not happy like i used to be loneliness has got the best of me my love my baby love i need you oh how i need you why you do me like you do after ive been true to you so deep in love with you baby baby til its hurtin me til its hurtin me baby love dont throw our love away dont throw our love away
18,Rhythm and Blues,Stevie Wonder,Uptight (Everything's Alright),we do not have the lyrics for uptight everythings alright yet
19,Rhythm and Blues,Jackson 5,I Want You Back,just let me tell you now when i had you to myself i didnt want you around those pretty faces always made you stand out in a crowd but someone picked you from the bunch one glance was all it took now its much too late for me to take a second look oh baby give me one more chance show you that i love you wont you please let me back in your heart oh darlin i was blind to let you go let you go baby but now since i see you in his arms i want you back yes i do now i want you back ooh ooh baby i want you back yeah yeah yeah yeah i want you back na na na na tryin to live without your love is one long sleepless night let me show you girl that i know wrong from right every street you walk on i leave tear stains on the ground following the girl i didnt even want around let me tell you now oh baby all i need is one more chance show you that i love you wont you please let me back in your heart oh darlin i was blind to let you go let you go baby but now since i see you in his arms all i want all i need all i want all i need baby oh baby oh baby i was blind to let you go but now since i see you in his arms yes i do now i want you back oh oh baby i want you back yeah yeah yeah yeah i want you back nananana oh baby all i need is one more chance show you that i love you wont you please let me back in your heart oh darling i was blind to let you go let you go baby but now since i see you in his arms all i want all i need all i want all i need oh baby oh baby i was blind to let you go but now since i see you in his arms oh baby i need one more chance
20,Rhythm and Blues,Kool and The Gang,Jungle Boogie,"get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down jungle boogie jungle boogie get it on jungle boogie jungle boogie get it on jungle boogie jungle boogie jungle boogie get down with the boogie jungle boogie come and shake it around jungle boogie help and get down jungle boogie boogie baby jungle boogie the boogie jungle boogie jungle boogie help and get down jungle boogie get boogie jungle boogie let me jump in jungle boogie down with the boogie get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down get down uh yeah feel the funk youll let me feel the load get down with the boogie im gonna knock with the jungle boogie get down get down with the boogie say ""ough"" get down say ""ugh"" get down say ""ugh"" til you feel it youll get down youll get down get funky yall with the get down"
21,Rhythm and Blues,Earth Wind And Fire,Shining Star,"earth wind and fire gratitude shining star yeah hey when you wish upon a star dreams will take you very far yeah when you wish upon a dream life ain´t always what it seems oh yeah once you see your light so clear in the sky so very dear you´re a shinig star no matter who you are shining bright to see what you can truly be that you can truly be shining star come into view shine is watchful light on you yeah gives you strength to carry on make your body big and strong future roads for you to pass love to watch your mug past the shining star lucky you the sinful redeeming shall be true on an adventure of the sun yeah yeah it´s all awake and just begun yeah thought i had to stir the mood that´s it now i got my own oh yeah so if you find yourself in need why don´t you listen to his words of heat be a child free of sin be some place yes i can words of wisdom yes i can you´re a shinig star no matter who you are shining bright to see what you can truly be you´re a shinig star no matter who you are shining bright to see what you can truly be <span class""icomment"" datachunkid""4786"" href""http//wwwsonglyricscom/annot4786"">shining star for you to see what your life can truly be shining star for you to see what your life can truly be shining star for you to see what your life can truly be"
22,Rhythm and Blues,Bo Diddley,Bo Diddley,bo diddley bought his baby a diamond ring if that diamond ring dont shine he gonna take it to a private eye if that private eye cant see he better not take the ring from me bo diddley bought a nanny goat to make his pretty baby a sunday coat bo diddley bought a bearacat to make his pretty baby a sunday hat mojo come to my house a black cat bone and take my baby away from home ugly ole mojo wheres he been up to your house and gone again bo diddley bo diddley have you heard my pretty baby said she was a bird
23,Rhythm and Blues,Smokey Robinson and The Miracles,The Tracks of My Tears,people say im the life of the party because i tell a joke or two although i might be laughing loud and hearty deep inside im blue so take a good look at my face youll see my smile looks out of place if you look closer its easy to trace the tracks of my tears i need you need you since you left me if you see me with another girl seeming like im having fun although she may be cute shes just a substitute because youre the permanent one so take a good look at my face youll see my smile looks out of place if you look closer its easy to trace the tracks of my tears i need you need you outside im masquerading inside my hope is fading just a clown oh yeah since you put me down my smile is my make up i wear since my break up with you so take a good look at my face youll see my smile looks out of place if you look closer its easy to trace the tracks of my tears
24,Rhythm and Blues,Frankie Lymon and The Teenagers,Why Do Fools Fall in Love,oh wah oh wah oh wah oh wah oh wah oh wah why do fools fall in love why do birds sing so gay and lovers await the break of day why do they fall in love why does the rain fall from above why do fools fall in love why do they fall in love love is a losing game love can ashame i know of a fool you see for that fool is me tell me why why why tell me why why do birds sing so gay and lovers await the break of day why do they fall in love why does my heart skip a crazy beat before i know it will reach defeat tell me why why why why do fools fall in love
25,Rhythm and Blues,The Impressions,It's Alright,say its all right say its all right its all right have a good time cause its all right whoa its all right were gonna move it slow when lights are low when you move it slow it sounds like more and its all right whoa its all right now listen to the beat kinda pat your feet you got soul and everybody knows that its all right whoa its all right when you wake up early in the mornin feelin sad like so many of us do hum a little soul make life your goal and surely somethings got to come to you and say its all right say its all right its all right have a good time cause its all right whoa its all right now everybody clap your hands give yourself a chance you got soul and everybody knows that its all right whoa its all right someday ill find me a woman who will love and treat me real nice then my woes got to go and my love she will know from morning noon and night and shes got to say its all right say its all right its all right have a good time cause its all right whoa its all right everybody clap your hands now give yourself a chance you got soul
26,Rhythm and Blues,Isaac Hayes,Theme From Shaft,shaft whos the black private dick thats a sex machine to all the chicks shaft youre damn right who is the man that would risk his neck for his brother man shaft can ya dig it whos the cat that wont cop out when theres danger all about shaft right on you see this cat shaft is a bad mother shut your mouth but im talkin about shaft then we can dig it hes a complicated man but no one understands him but his woman john shaft
27,Rhythm and Blues,Big Mama Thornton,Hound Dog,you aint nothing but a hound dog been snoopin round the door you aint nothing but a hound dog been snoopin round my door you can wag your tail but i aint gonna feed you no more you told me you was high class but i could see through that yes you told me you was high class but i could see through that and daddy i know you aint no real cool cat you aint nothing but a hound dog been snoopin round the door youre just an old hound dog been snoopin round my door you can wag your tail but i aint gonna feed you no more you made me feel so blue you made me weep and moan you made me feel so blue well you made me weep and moan cause im looking for a woman all your lookin for is a home you aint nothing but a hound dog been snoopin round the door you aint nothing but a hound dog been snoopin round my door you can wag your tail but i aint gonna feed you no more
28,Rhythm and Blues,Eddie Floyd,Knock on Wood,i dont want to lose this good thing that ive got cause if i do i would surely surely loose a lot cause your love is better than any love i know its like thunder lightning the way you love me is frightening id better knock on wood baby im not superstitious about you but i cant take no chance you got me spinning baby baby im in a trance cause your love is better than any love i know its like thunder lightning the way you love me is frightening id better knock on wood baby its no secret that woman is my loving cup well she sees to it that i get enough just one touch from her you know it means so much its like thunder lightning the way you love me is frightening id better knock on wood baby i better knock knock knock think i better knock knock knock on wood think i better knock knock knock on wood think i better knock knock knock on wood think i better knock knock knock
29,Rhythm and Blues,Hank Ballard and The Midnighters,Work With Me Annie,oooh work with me annie a um a um a um a um work with me annie ooo wee work with me annie work with me annie work with me annie lets get it while the gettin is good so good so good so good so good annie please dont cheat va oom va oom va oom va oom give me all my meat ooo ooo hoo wee so good to me work with me annie now lets get it while the gettin is good so good so good so good so good a ooo my ooo my ooo ooo wee annie oh how you thrill me make my head go round and round and all my love come down ooo work with me annie a um a um a um a um work with me annie dont be shamed to work with me annie call my name work with me annie a work with me annie lets get it while the gettin is good so good so good so good so good so good oh our hot lips kissing a um a um a um a um girl ill beg mercy oh hugging and more teasing dont want no freezing a work with me annie lets get it while the gettin is good so good so good so good so good ooo ooo umm mmm mmm ooo ooo ooo ooo ooo ooo
30,Rhythm and Blues,Sam and Dave,Hold On! I'm Comin',dont you ever feel sad lean on me when times are bad when the day comes and youre down in a river of trouble and about to drown just hold on im comin hold on im comin im goin my way your lover if you get cold ill be your cover dont have to worry cause im here no need to suffer baby im here cause hold on im comin hold on im comin hold on im comin hold on im comin reach out to me for satisfaction call my name now for quick reaction dont you ever feel sad lean on me when times are bad when the day comes and youre down in a river of trouble and about to drown just hold on im comin hold on im comin
31,Rhythm and Blues,Booker T. and The MG's,Green Onions,all right people the rest of the hard working all star blues brothers are gonna be out here in a minute including my little brother jake but right now id like to talk a little bit about thi e youre hearing this is of course the green onions tune it was a very big hit in the early sixties in this country and of course it was composed and recorded in memphis tennessee right here e united states of america you know people i believe that this tune can be acquainted with the great classical music around the world now you go to germany youve got your bach your beethoven your brahms here in america youve got your fred mcdowell your irving berlin your glenn miller and your booker t and the mgs ple another example of the great contributions in music and culture that this country has made around the world and as you look around the world today you see this country spurned you see backs turned on this country well people im gonna tell you something this continent north america is the stronghold this is where were gonna make our stand in this decade yeah e ive got something to say to the state department i say take that archaic monroe doctrine and that marshall plan that says were supposed to police force the world and throw em out lets home for the next ten years people right here in north america and enjoy the music and culture that is ours yeah i got one more thing to say im just talking about the music people and what it does to me and that is as you look around the world you go to the soviet union or great britain or france you name it any country ev dy is doing flips and twists just to get into a genuine pair of american blue jeans and to hear this music and we got it all here in america the land of the chrysler 440 cubic inch engine
32,Rhythm and Blues,Sam Cooke,Chain Gang,ho ha ho ha i hear somethin sayin ho ha ho ha ho ha ho ha well dont you know thats the sound of the men workin on the chain gang thats the sound of the men workin on the chain gang all day long theyre sayin ho ha ho ha ho ha ho ha well dont you know thats the sound of the men workin on the chain gang thats the sound of the men workin on the chain gang all day long they work so hard till the sun is going down workin on the highways and byways and wearing wearing a frown you hear them moanin their lives away then you hear somebody say thats the sound of the men workin on the chain gang thats the sound of the men workin on the chain gang cant hear them sayin hmm im goin home one of these days im goin home see my woman whom i love so dear meanwhile i have to work right here well dont you know thats the sound of the men workin on the chain gang thats the sound of the men workin on the chain gang all day long theyre sayin hmm my my my my my my my my work is so hard give me water im thirsty my my work is so hard my my my my my my my work is so hard oh ooo oh ooo hmm
33,Rhythm and Blues,Mary Wells,My Guy,nothing you could say can tear me away from my guy nothing you could do cause im stuck like glue to my guy im stickin to my guy like a stamp to a letter like the birds of a feather we stick together im tellin you from the start i cant be torn apart from my guy nothing you can do could make me untrue to my guy nothing you could buy could make me tell a lie to my guy i gave my guy my word of honor to be faithful and im gonna you best be believing i wont be deceiving with my guy as a matter of opinion i think hes tops my opinion is hes the cream of the crop as a matter of taste to be exact hes my ideal as a matter of fact no muscle bound man could take my hand from my guy no handsome face could ever take the place of my guy he may not be a movie star but when it comes to being happy we are theres not a man today who could take me away from my guy no muscle bound man could take my hand from my guy no handsome face could ever take the place of my guy he may not be a movie star but when it comes to being happy we are theres not a man today who could take me away from my guy theres not a man today who could take me away from my guy theres not a man today
