,genre,artist,song,lyrics
10,Christian,Switchfoot,Always,this is the start this is your heart this is the day you were born this is the sun these are your lungs this is the day you were born and i am always always always yours i am always always always yours these are the scars deep in your heart this is the place you were born this is the hole where most of your soul comes ripping out from the places youve been torn and it is always always always yours i am always always always yours hallelujah im caving in hallelujah im in love again hallelujah im a wretched man hallelujah every breath is a second chance yeah and it is always always always yours i am always always always yours always always always yours always always always yours juro que amo todas tus carencias aunque aprueben mi paciencia amo todo si es contigo
11,Christian,MercyMe,Bring The Rain,i can count a million times people asking me how i can praise you with all that ive gone through the question just amazes me can circumstances possibly change who i forever am in you maybe since my life was changed long before these rainy days its never really ever crossed my mind to turn my back on you oh lord my only shelter from the storm but instead i draw closer through these times so i pray bring me joy bring me peace bring the chance to be free bring me anything that brings you glory and i know therell be days when this life brings me pain but if thats what it takes to praise you jesus bring the rain i am yours regardless of the dark clouds that may loom above because you are much greater than my pain so i pray bring me joy bring me peace bring the chance to be free bring me anything that brings you glory and i know therell be days when this life brings me pain but if thats what it takes to praise you jesus bring the rain holy holy holy holy holy holy is the lord god almighty is the lord god almighty and i forever sing holy holy holy holy holy holy is the lord god almighty is the lord god almighty everybody sing it holy holy holy holy holy holy is the lord god almighty is the lord god almighty you are holy you are holy lord you are holy is the lord our god is the lord our god almighty yeah yeah yeah everybody sing it holy you are holy oh holy holy holy yeah yeah yeah is the lord god almighty is the lord god almighty yeah yeah yeah yeah holy holy holy holy holy holy is the lord god almighty is the lord god almighty
12,Christian,Chris Tomlin,Indescribable,we do not have the lyrics for indescribable yet
13,Christian,MercyMe,Word of God Speak,im finding myself at a loss for words and the funny thing is its okay the last thing i need is to be heard but to hear what you would say word of god speak would you pour down like rain washing my eyes to see your majesty to be still and know that youre in this place please let me stay and rest in your holiness word of god speak im finding myself in the midst of you beyond the music beyond the noise all that i need is to be with you and in the quiet hear your voice word of god speak would you pour down like rain washing my eyes to see your majesty to be still and know that youre in this place please let me stay and rest in your holiness word of god speak would you pour down like rain washing my eyes to see your majesty to be still and know that youre in this place please let me stay and rest in your holiness im finding myself at a loss for words and the funny thing is its okay
14,Christian,Chris Tomlin,Jesus Messiah,we do not have the lyrics for jesus messiah yet
15,Christian,Chris Tomlin,I Will Rise,we do not have the lyrics for i will rise yet
16,Christian,Chris Tomlin,Amazing Grace (My Chains Are Gone),amazing grace how sweet the sound that saved a wretch like me i once was lost but now im found was blind but now i see twas grace that taught my heart to fear and grace my fears relieved how precious did that grace appear the hour i first believed my chains are gone ive been set free my god my savior has ransomed me and like a flood his mercy reigns un love amazing grace the lord has promised good to me his word my hope secures he will my shield and portion be as long as life endures my chains are gone ive been set free my god my savior has ransomed me and like a flood his mercy reigns un love amazing grace my chains are gone ive been set free my god my savior has ransomed me and like a flood his mercy reigns un love amazing grace the earth shall soon dissolve like snow the sun forbear to shine but god who called me here below will be forever mine will be forever mine you are forever mine
17,Christian,Third Day,Cry Out To Jesus,to everyone whos lost someone they love long before it was their time you feel like the days you had were not enough when you said goodbye and to all of the people with burdens and pains keepin you back from your life you believe that theres nothing and there is no one who can make it right there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing hell meet you wherever you are cry out to jesus cry out to jesus for the marriage thats struggling just to hang on have lost all of their faith in love and theyve done all they can to make it right again still its not enough for the ones who cant break the addictions and chains you try to give up but you come back again just remember that youre not alone in your shame and your suffering there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing hell meet you wherever you are cry out to jesus when youre lonely and it feels like the whole world is falling on you you just reach out you just cry out to jesus cry to jesus to the widow who suffers from being alone wipin the tears from her eyes for the children around the world without a home say a prayer tonight there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing that meets you wherever you are there is hope for the helpless rest for the weary and love for the broken hearts there is grace and forgiveness mercy and healing that meets you wherever you are cry out to jesus cry out to jesus cry out to jesus cry out to jesus
18,Christian,Phillips Craig And Dean,Revelation Song,worthy is the lamb who was slain holy holy is he sing a new song to him who sits on heavens mercy seat worthy is the lamb who was slain holy holy is he sing a new song to him who sits on heavens mercy seat holy holy holy is the lord god almighty who was and is and is to come with all creation i sing praise to the king of kings you are my everything and i will adore you clothed in rainbows of living color flashes of lightning rolls of thunder blessing and honor strength and glory and power be to you the only wise king holy holy holy is the lord god almighty who was and is and is to come with all creation i sing praise to the king of kings you are my everything and i will adore you i will adore you filled with wonder awestruck wonder at the mention of your name jesus your name is power breath and living water such a moment mystery oh youre worthy mystery you are are worthy yes holy holy holy is the lord god almighty who was and is and is to come with all creation i sing praise to the king of kings you are my everything and i will adore you i will adore you
19,Christian,John Waller,While I'm Waiting,we do not have the lyrics for while im waiting yet
20,Christian,Rich Mullins,Awesome God,when he rolls up his sleeves he aint just putting on the ritz our god is an awesome god theres thunder in his footsteps and lightning in his fists our god is an awesome god and the lord wasnt joking when he kicked em out of eden it wasnt for no reason that he shed his blood his return is very close and so you better be believing that our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god and when the sky was starless in the void of the night our god is an awesome god he spoke into the darkness and created the light our god is an awesome god judgement and wrath he poured out on sodom mercy and grace he gave us at the cross i hope that we have not too quickly forgotten that our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god he reigns from heaven above with wisdom power and love our god is an awesome god our god is an awesome god  our god is an awesome god he reigns from heaven above  he reigns from heaven above with wisdom power and love  with wisdom power and love our god is an awesome god our god is an awesome god our god is an awesome god
21,Christian,Nicole C. Mullen,Redeemer,who taught the sun where to stand in the morning and who told the ocean you can only come this far and who showed the moon where to hide till evening whose words alone can catch a falling star well i know my redeemer lives i know my redeemer lives all of creation testifies this life within me cries i know my redeemer lives yeeeah the very same god that spins things in orbit runs to the weary the worn and the weak and the same gentle hands that hold me when im broken they conquered death to bring me victory now i know my redeemer lives i know my redeemer lives let all creation testify let this life within me cry iii know my redeemer he lives to take away my shame and he lives forever ill proclaim that the payment for my sin was the precious life he gave and now hes alive and theres an empty grave and i know my redeemer lives he lives i know my redeemer lives let all creation testify let this life within me cry iii know my redeemer i know my redeemer lives i know my redeemer lives i know that i know that i know that i know that i know he lives because he lives i can face tomorrow he lives i know i know he lives i spoke with him this morning he lives the tomb is empty he lives im going to tell everybody
22,Christian,TobyMac,City On Our Knees,if you gotta start somewhere why not here if you gotta start sometime why not now if we gotta start somewhere i say here if we gotta start sometime i say now through the fog there is hope in the distance from cathedrals to third world missions love will fall to the earth like a crashing wave tonights the night for the sinners and the saints two worlds collide in a beautiful display its all love tonight when we step across the line we can sail across the sea to a city with one king a city on our knees a city on our knees oh if you gotta start somewhere why not here if you gotta start sometime why not now if we gotta start somewhere i say here if we gotta start sometime i say now through the fog there is hope in the distance from cathedrals to third world missions love will fall to the earth like a crashing wave tonights the night for the sinners and the saints two worlds collide in a beautiful display its all love tonight when we step across the line we can sail across the sea to a city with one king a city on our knees a city on our knees oh tonight couldnt last forever we are one choice from together tonight couldnt last forever oh tonight couldnt last forever we are one choice from together family were family oh tonight couldnt last forever we are one choice from together you and me yeah you and me tonights the night for the sinners and the saints two worlds collide in a glorious display cause its all love tonight when we step across the line we can sail across the sea to a city with one king a city on our knees a city on our knees oh a city on our knees a city on our knees oh if we gotta start somewhere why not here if we gotta start sometime why not now
23,Christian,Selah,Bless The Broken Road,i set out on a narrow way many years ago hoping i would find true love along the broken road but i got lost a time or two wiped my brow and kept pushing through i couldnt see how every sign pointed straight to you every long lost dream lead me to where you are others who broke my heart they were like northern stars pointing me on my way into your loving arms this much i know is true that god blessed the broken road that lead me straight to you i think about the years i spent just passing through id like to take the time i lost and give it back to you but you just smile and take my hand youve been there you understand its all part of the grander plan that is coming true every long lost dream lead me to where you are others who broke my heart they were like northern stars pointing me on my way into your loving arms this much i know is true that god blessed the broken road that lead me straight to you now im just rolling home into my loving arms this much i know is true that god blessed the broken road that lead me straight to you that god blessed the broken road that lead me straight to you
24,Christian,Switchfoot,This Is Home,ive got my memories theyre always inside of me but i cant go back back to how it was i believe in now ive come too far now i cant go back back to how it was  created for a place ive never known this is home now im finally where i belong where i belong yeah this is home ive been searching for a place of my own now ive found it maybe this is home yeah this is home  belief over misery ive seen the enemy and i wont go back back to how it was and i got my heart set on what happens next i got my eyes wide its not over yet we are miracles and were not alone this is home now im finally where i belong where i belong yeah this is home ive been searching for a place of my own now ive found it maybe this is home yeah this is home and now after all my searching after all my questions im gonna call it home i got a brand new mindset i can finally see the sunset im gonna call it home this is home now im finally where i belong where i belong yeah this is home ive been searching for a place of my own now ive found it maybe this is home yeah this is home now i know yeah this is home ive come too far and i wont go back yeah this is home 
25,Christian,Michael W. Smith,Above All,above all powers above all kings above all nature and all created things above all wisdom and all the ways of man you were here before the world began above all kingdoms above all thrones above all wonders the world has ever known above all wealth and treasures of the earth theres no way to measure what youre worth crucified laid behind a stone you lived to die rejected and alone like a rose trampled on the ground you took the fall and thought of me above all above all powers above all powers above all kings above all nature and all created things above all wisdom and all the ways of man you were here before the world began above all kingdoms above all thrones above all wonders the world has ever known above all wealth and treasures of the earth theres no way to measure what youre worth crucified laid behind a stone you lived to die rejected and alone like a rose trampled on the ground you took the fall and thought of me above all crucified laid behind a stone you lived to die rejected and alone like a rose trampled on the ground you took the fall and thought of me above all like a rose trampled on the ground you took the fall and thought of me above all thank you jesus hallelujah
26,Christian,Casting Crowns,Voice of Truth,"oh what i would do to have the kind of faith it takes to climb out of this boat im in onto the crashing waves to step out of my comfort zone into the realm of the unknown where jesus is and hes holding out his hand but the waves are calling out my name and they laugh at me reminding me of all the times ive tried before and failed the waves they keep on telling me time and time again ""boy youll never win"" ""youll never win"" but the voice of truth tells me a different story the voice of truth says ""do not be afraid"" and the voice of truth says ""this is for my glory"" out of all the voices calling out to me i will choose to listen and believe the voice of truth oh what i would do to have the kind of strength it takes to stand before a giant with just a sling and a stone surrounded by the sound of a thousand warriors shaking in their armor wishing theyd have had the strength to stand but the giants calling out my name and he laughs at me reminding me of all the times ive tried before and failed the giant keeps on telling me time and time again ""boy youll never win"" ""youll never win"" but the voice of truth tells me a different story the voice of truth says ""do not be afraid"" and the voice of truth says ""this is for my glory"" out of all the voices calling out to me i will choose to listen and believe the voice of truth but the stone was just the right size to put the giant on the ground and the waves they dont seem so high on top of them lookin down i will soar with the wings of eagles when i stop and listen to the sound of jesus singing over me but the voice of truth tells me a different story the voice of truth says ""do not be afraid"" and the voice of truth says ""this is for my glory"" out of all the voices calling out to me calling out to me i will choose to listen and believe i will choose to listen and believe the voice of truth i will listen and believe i will listen and believe the voice of truth i will listen and believe cause jesus you are the voice of truth and i will listen to you you are"
27,Christian,The Katinas,Thank You,just a little while longer i wanna pray cant get you off my mind so i came to say thank you lord just for loving me alright many times i do forget every need that you have met oh thank you lord i know youre showing me you are there when i am down and out youre holding me your love is so amazing oh it changed me here i am with all i have raise my hands to worship you i wanna say thank you oh thank you for everything for who you are you cover me and touch my heart i wanna say thank you i could have died in my sin but you saved me didnt have any hope at all you gave me peace divine strength to carry on alright i should have been the one to pay but instead you took my place amazing grace its more than just a song even though i dont deserve your love for me you look beyond my fault and you showed me mercy here i am with all i have raise my hands to worship you i wanna say thank you oh thank you for everything for who you are you cover me and touch my heart i wanna say thank you i wanna say thank you for the sun lord we thank you for the rain oh lord i love you thank you thats all that i can say thank you for the love you gave here i am with all i have raise my hands to worship you i wanna say thank you oh thank you for everything for who you are you cover me and touch my heart i wanna say thank you thank you i wanna say thank you thank you i wanna say thank you i wanna say thank you i wanna say thank you
28,Christian,Tenth Avenue North,Hold My Heart,how long must i pray must i pray to you how long must i wait must i wait for you how long till i see your face see you shining through im on my knees begging you to notice me im on my knees father will you turn to me yeah one tear in the dropping rain one voice in a sea of pain could the maker of the stars hear the sound of my breaking heart one life is all i am right now i can barely stand if youre everything you say you are would you come close and hold my heart ive been so afraid afraid to close my eyes so much can slip away before i say goodbye but if theres no other way im done asking why cause im on my knees begging you to turn to me im on my knees father will you run to me yeah one tear in the dropping rain one voice in a sea of pain could the maker of the stars hear the sound of my breaking heart one life is all i am right now i can barely stand if youre everything you say you are would you come close and hold my heart so many questions without answers your promises remain i cant see but ill take my chances to hear you call my name to hear you call my name one tear in the dropping rain one voice in a sea of pain could the maker of the stars hear the sound of my breaking heart one life is all i am right now i can barely stand if youre everything you say you are would you come close and hold my heart hold my heart could you hold my heart hold my heart
29,Christian,Brian Littrell,In Christ Alone,in christ alone will i glory though i could pride myself in battles won for ive been blessed beyond measure and by his strength alone i overcome oh i could stop and count successes like diamonds in my hands but those trophies could not equal to the grace by which i stand in christ alone i place my trust and find my glory in the power of the cross in every victory let it be said of me my source of strength my source of hope is christ alone in christ alone do i glory for only by his grace i am redeemed for only his tender mercy could reach beyond my weakness to my need and now i seek no greater honor than just to know him more and to count my gains but losses to the glory of my lord in christ alone i place my trust and find my glory in the power of the cross in every victory let it be said of me my source of strength my source of hope in christ alone i place my trust and find my glory in the power of the cross in every victory let it be said of me my source of strength my source of hope is christ alone is christ alone
30,Christian,Kutless,Sea of Faces,we do not have the lyrics for sea of faces yet
31,Christian,Mark Schultz,He Will Carry Me,mark schultz miscellaneous he will carry me i call you hear me ive lost it all and its more then i can bear i feel so empty your strong im weary im holding on but i feel like giving in but still youre with me pre and and even though im walking through the valley of the shadow i will hold tight to the hand of him whos love will comfort me and when my hope is gone and ive been wounded in the battle he is all the strength that i will ever need he will carry me i know im broken but you alone can mend this heart of mine your always with me and even though im walking through the valley of the shadow i will hold tight to the hand of him whos love will comfort me and when my hope is gone and ive been wounded in the battle he is all the strength that i will ever need he will carry me he will carry me bridge and even though i feel so lonely like i have never been before you never said it would be easy but you said youd see me through the storm and even though im walking through the valley of the shadow i will hold tight to the hand of him whos love will comfort me and when my hope is gone and ive been wounded in the battle he is all the strength that i will ever need he will carry me he will carry me he will carry me
32,Christian,Jeremy Camp,This Man,we do not have the lyrics for this man yet
33,Christian,Third Day,Call My Name,its been so long since you felt like you were loved so what went wrong but do you know theres a place where you belong here in my arms when you feel like youre alone in your sadness and it seems like no one else in this whole world cares and you want to get away from the madness you just call my name and ill be there you just call my name and ill be there the pain inside has erased your hope for love but soon you will find that ill give you all that your heart could ever want and so much more when you feel like youre alone in your sadness and it seems like no one else in this whole world cares and you want to get away from the madness you just call my name and ill be there you just call my name and ill be there oh you just call my name if you just call my name call my name say it now i want you to never doubt the love i have for you is so alive call my name say it now i want you to never doubt the love i have for you is so alive you just call my name you just call my name you just call my name the love i have for you is so alive the love i have for you is so alive you just call my name you just call my name you just call my name
34,Christian,MercyMe,Here With Me,i long for your embrace every single day to meet you in this place and see you face to face will you show me reveal yourself to me because of your mercy i fall down on my knees and i can feel your presence here with me suddenly im lost within your beauty caught up in the wonder of your touch here in this moment i surrender to your love youre everywhere i go i am not alone you call me as your own to know you and be known you are holy and i fall down on my knees i can feel your presence here with me suddenly im lost within your beauty caught up in the wonder of your touch here in this moment i surrender to your love i surrender to your grace i surrender to the one who took my place i can feel your presence here with me suddenly im lost within your beauty caught up in the wonder of your touch here in this moment i surrender to i can feel your presence here with me suddenly im lost within your beauty caught up in the wonder of your touch here in this moment i surrender to your love
35,Christian,"Phillips, Craig and Dean",Saved the Day,the darkest day in history was over all was lost on the cross beaten battered bruised beyond description you gave it all what went wrong this couldnt be the end of heavens story cause you came to save to beat the grave three days and now theyre looking for your body but you were gone and now i know you saved the day the day you rolled the stone away the empty grave is there to say you reign you saved the day you tore the holy veil away you opened wide the prison gates you saved the day rescued from the shackles of my failure in the dead of night you shined your light your gift of love is hope that springs eternal and because of you all things are new you saved the day the day you rolled the stone away the empty grave is there to say you reign you saved the day you tore the holy veil away you opened wide the prison gates you saved the day oh god you rescued me from my iniquities your gift of love is hope that springs eternal and because of you all things are new you saved the day the day you rolled the stone away the empty grave is there to say you reign you saved the day you tore the holy veil away you opened wide the prison gates you saved the day you saved the day the day you rolled the stone away the empty grave is there to say you reign you saved the day you tore the holy veil away you opened wide the prison gates you saved the day
36,Christian,Switchfoot,This Is Your Life,yesterday is a wrinkle on your forehead yesterday is a promise that youve broken dont close your eyes dont close your eyes this is your life and today is all youve got now yeah and today is all youll ever have dont close your eyes dont close your eyes this is your life are you who you want to be this is your life are you who you want to be this is your life is it everything you dreamed it would be when the world was younger and you had everything to lose yesterday is a kid in the corner yesterday is dead and over this is your life are you who you want to be this is your life are you who you want to be this is your life is it everything you dreamed it would be when the world was younger and you had everything to lose dont close your eyes dont close your eyes dont close your eyes dont close your eyes dont close your eyes this is your life are you who you want to be this is your life are you who you want to be yeah this is your life are you who you want to be who you want to be yeah this is your life are you who you want to be who you want to be this is your life is it everything you dreamed it would be when the world was younger and you had everything to lose and you had everything to lose
37,Christian,Seventh Day Slumber,From the Inside Out,a thousand times ive failed still your mercy remains and if i stumble again im caught in our grace everlasting your light will shine when all else fails never your glory goes beyond all fame my heart and my soul i give you control consume me from the inside out lord let justice and praise become my embrace to love you from the inside out your will above all else my purpose remains the art of losing myself in bringing you praise everlasting your light will shine when all else fails never your glory goes beyond all fame my heart and my soul i give you control consume me from the inside out lord let justice and praise become my embrace to love you from the inside out everlasting your light will shine when all else fails never your glory goes beyond all fame and the cry of my heart is to bring you praise from the inside out lord my soul cries out
38,Christian,Jeremy Camp,There Will Be a Day,we do not have the lyrics for there will be a day yet
39,Christian,Brandon Heath,Give Me Your Eyes,looked down from a broken sky traced out by the city lights my world from a mile high best seat in the house tonight touched down on the cold black tar hold on for the sudden stop breathe in the familiar shock of confusion and chaos all those people going somewhere why have i never cared give me your eyes for just one second give me your eyes so i can see everything that i keep missing give me your love for humanity give me your arms for the broken hearted the ones that are far beyond my reach give me your heart for the ones forgotten give me your eyes so i can see yeah yeah yeah yeah step out on a busy street see a girl and our eyes meet does her best to smile at me to hide whats underneath theres a man just to her right black suit and a bright red tie too ashamed to tell his wife hes out of work hes buying time all those people going somewhere why have i never cared give me your eyes for just one second give me your eyes so i can see everything that i keep missing give me your love for humanity give me your arms for the broken hearted the ones that are far beyond my reach give me your heart for the ones forgotten give me your eyes so i can see yeah yeah yeah yeah ive been there a million times a couple of million eyes just moving past me by i swear i never thought that i was wrong well i want a second glance so give me a second chance to see the way you see the people all alone give me your eyes for just one second give me your eyes so i can see everything that i keep missing give me your love for humanity give me your arms for the broken hearted the ones that are far beyond my reach give me your heart for the ones forgotten give me your eyes so i can see give me your eyes for just one second give me your eyes so i can see everything that i keep missing that i keep missing give me your arms for the broken hearted the ones that are far beyond my reach give me your heart for the ones forgotten give me your eyes so i can see yeah yeah yeah yeah yeah yeah yeah yeah
40,Christian,Third Day,Show Me Your Glory,i caught a glimpse of your splendor in the corner of my eye the most beautiful thing ive ever seen and it was like a flash of lightning reflected off the sky and i know ill never be the same show me your glory send down your presence i want to see your face show me your glory majesty shines about you i cant go on without you lord when i climb down the mountain and get back to my life i wont settle for ordinary things im gonna follow you forever for all of my days i wont rest til i see you again show me your glory send down your presence i want to see your face show me your glory majesty shines about you i cant go on without you lord lord lord show me your glory send down your presence i want to see your face show me your glory majesty shines about you i cant go on without you lord show me your glory show me your glory lord i cant live without you oh lord
41,Christian,Sidewalk Prophets,The Words I Would Say,three in the morning and im still awake so i picked up a pen and a page and i started writing just what id say if we were face to face id tell you just what you mean to me tell you these simple truths be strong in the lord and never give up hope youre gonna do great things i already know gods got his hand on you so dont live life in fear forgive and forget but dont forget why youre here take your time and pray these are the words i would say last time we spoke you said you were hurting and i felt your pain in my heart i want to tell you that i keep on praying that love will find you where you are i know cause ive already been there so please hear these simple truths be strong in the lord and never give up hope youre gonna do great things i already know gods got his hand on you so dont live life in fear forgive and forget but dont forget why youre here take your time and pray these are the words i would say say from one simple life to another i will say come find peace in the father be strong in the lord and never give up hope youre gonna do great things i already know gods got his hand on you so dont live life in fear forgive and forget but dont forget why youre here take your time and pray and thank god for each day his love will find a way these are the words i would say
42,Christian,Downhere,Here I Am,sometimes your calling comes in dreams sometimes it comes in the spirits breeze you reach for the deepest hope in me and call out for the things of eternity but im a man of dust and stains you move in me so i can say  here i am lord send me all of my life i make an offering here i am lord send me somehow my story is a part of your plan here i am when setbacks and failures and upset plans test my faith and leave me with empty hands are you not the closest when its hardest to stand i know that you will finish what you began and these broken parts you redeem become the song that i can sing here i am lord send me all of my life i make an offering here i am lord send me somehow my story is a part of your plan here i am overwhelmed by the thought of my weakness and the fear that ill fail you in the end in this mess im just one of the pieces i cant put this together but you can here i am lord send me i wanna live my life as an offering here i am lord send me somehow my story is part of your plan here i am here i am all my life an offering to you to you somehow my story is a part of your plan here i am
43,Christian,Chris Tomlin,How Can I Keep From Singing,we do not have the lyrics for how can i keep from singing yet
