,genre,artist,song,lyrics
10,Rock,Iron Maiden,Run to the Hills,white man came across the sea he brought us pain and misery he killed our tribes he killed our creed he took our game for his own need we fought him hard we fought him well out on the plains we gave him hell but many came too much for cree oh will we ever be set free riding through dust clouds and barren wastes galloping hard on the plains chasing the redskins back to their holes fighting them at their own game murder for freedom a stab in the back women and children and cowards attack run to the hills run for your lives run to the hills run for your lives soldier blue in the barren wastes hunting and killing's a game raping the women and wasting the men the only good injuns are tame selling them whiskey and taking their gold enslaving the young and destroying the old run to the hills run for your lives run to the hills run for your lives run to the hills run for your lives run to the hills run for your lives run to the hills run for your lives run to the hills run for your lives
11,Rock,Judas Priest,Breaking The Law,there i was completely wasting out of work and down all inside it's so frustrating as i drift from town to town feel as though nobody cares if i live or die so i might as well begin to put some action in my life breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law so much for the golden future i can't even start i've had every promise broken there's anger in my heart you don't know what it's like you don't have a clue if you did you'd find yourselves doing the same thing too breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law you don't know what it's like breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law breaking the law
12,Rock,Rush,Tom Sawyer,a modern day warrior mean mean stride today's tom sawyer mean mean pride though his mind is not for rent don't put him down as arrogant his reserve a quiet defense riding out the day's events the river what you say about his company is what you say about society catch the mist catch the myth catch the mystery catch the drift the world is the world is love and life are deep maybe as his skies are wide today's tom sawyer he gets high on you and the space he invades he gets by on you no his mind is not for rent to any god or government always hopeful yet discontent he knows changes aren't permanent but change is what you say about his company is what you say about society catch the witness catch the wit catch the spirit catch the spit the world is the world is love and life are deep maybe as his eyes are wide exit the warrior today's tom sawyer he gets high on you and the energy you trade he gets right on to the friction of the day
13,Rock,Santana,Photograph,i'm outta luck outta love gotta photograph picture of passion killer you're too much you're the only one i wanna touch i see your face every time i dream on every page every magazine so wild and free so far from me you're all i want my fantasy oh look what you've done to this rock 'n' roll clown oh look what you've done photograph i don't want your photograph i don't need your photograph all i've got is a photograph i'd be your lover if you were there put your hurt on me if you dare such a woman you got style you make every man feel like a child oh you got some kinda hold on me you're all wrapped up in mystery so wild and free so far from me you're all i want my fantasy oh look what you've done to this rock 'n' roll clown oh look what you've done i gotta have you photograph i don't want your photograph i don't need your photograph all i've got is a photograph you've gone straight through my head oh look what you've done to this rock 'n' roll clown oh look what you've done i gotta have you photograph i don't want your photograph i don't need your photograph all i've got is a photograph i wanna touch you photograph photograph photograph photograph photograph photograph photograph photograph
14,Rock,Bon Jovi,You Give Love a Bad Name,shot through the heart and you're to blame darlin' you give love a bad name an angel's smile is what you sell you promise me heaven then put me through hell chains of love got a hold on me when passion's a prison you can't break free oh you're a loaded gun yeah oh there's nowhere to run no one can save me the damage is done shot through the heart and you're to blame you give love a bad name bad name i play my part and you play your game you give love a bad name bad name hey you give love a bad name paint your smile on your lips blood red nails on your fingertips a school boy's dream you act so shy your very first kiss was your first kiss goodbye whoa you're a loaded gun whoa there's nowhere to run no one can save me the damage is done shot through the heart and you're to blame you give love a bad name bad name i play my part and you play your game you give love a bad name bad name you give love oh oh shot through the heart and you're to blame you give love a bad name i play my part and you play your game you give love a bad name bad name shot through the heart and you're to blame you give love a bad name bad name i play my part and you play your game you give love a bad name bad name you give love you give love bad name you give love you give love bad name you give love you give love bad name you give love you give love
15,Rock,Led Zeppelin,Kashmir,oh let the sun beat down upon my face stars to fill my dreams i am a traveler of both time and space to be where i have been secret elders of the gentle race this world is seldom seen they talk of days for which they sit and wait all will be revealed talk and song from tongues of lilting grace whose sounds caress my ear but not a word i heard could i relate the story was quite clear woah woah ooh oh baby i been flying lord yeah mama there ain't no denyin' oh ooh yes i've been flying mama ma ain't no denyin' no denyin' oh all i see turns to brown as the sun burns the ground and my eyes fill with sand as i scan this wasted land trying to find trying to find where i been oh pilot of the storm who leaves no trace like thoughts inside a dream heed the path that led me to that place yellow desert screen my shangrila beneath the summer moon i will return again sure as the dust that floats high in june when movin' through kashmir oh father of the four winds fill my sails across the sea of years with no provision but an open face 'long the straits of fear woah woah woah oh well when i want when i'm on my way yeah when i see when i see the way you stay yeah ooh yeah yeah ooh yeah yeah well i'm down yes ooh yeah yeah ooh yeah yeah well i'm down so down ooh my baby ooh my baby let me take you there oh oh come on come on oh let me take you there let me take you there ooh yeah yeah ooh yeah yeah
16,Rock,Motley Crue,Dr Feelgood,"motley crue dr feelgood dr feelgood rattailed jimmy is a second hand hood he deals out in hollywood got a '65 chevy primered flames traded for some powdered goods jigsaw jimmy he's runnin' a gang but i hear he's doin' ok got a cozy little job sells the mexican mob packages of candycaine he's the one they call dr feelgood he's the one that makes ya feel alright he's the one they call dr feelgood cops on the corner always ignore somebody's getting paid jimmy's got it wired law's for hire got it made in the shade got a little hideaway does business all day but at night he'll always be found selling sugar to the sweet people on the street call this jimmy's town he's the one they call dr feelgood he's the one that makes ya feel alright he's the one they call dr feelgood he's gonna be your frankenstien i've got one thing you'll understand he's not what you'd call a glamorous man got one thing that's easily understood he's the one they call dr feelgood he'll tell you he's the king of these barrio streets moving up to shangrila came by his wealth as a matter of luck says he never broke no law two time loser running out of juice time to move out quick heard a rumour going round jimmy's going down this time it's gonna stick he's the one they call dr feelgood he's the one that makes ya feel alright he's the one they call dr feelgood he's gonna be your frankenstien let him soothe your soul just take his hand some people call him an evil man let him introduce himself real good he's the only one they call ""feelgood"""
17,Rock,Kiss,Rock and Roll All Nite,you show us everything you've got you keep on dancin' and the room gets hot you drive us wild we'll drive you crazy you say you wanna go for a spin the party's just begun we'll let you in you drive us wild we'll drive you crazy you keep on shoutin' you keep on shoutin' i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day you keep on saying you'll be mine for a while you're lookin' fancy and i like your style you drive us wild we'll drive you crazy you show us everything you've got baby baby that's quite a lot and you drive us wild we'll drive you crazy you keep on shoutin' you keep on shoutin' i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day you keep on shoutin' you keep on shoutin' i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day i wanna rock and roll all nite and party every day
18,Rock,OZZY OSBOURNE,Crazy Train,crazybut that's how it goes millions of people living as foes maybe it's not too late to learn how to love and forget how to hate mental wounds not healing driving me insane i'm going off the rails on a crazy train i've listened to preachers i've listened to fools i've watched all the dropouts who make their own rules one person conditioned to rule and control the media sells it and you live the role mental wounds still screaming driving me insane i'm going off the rails on a crazy train i know that things are going wrong for me you gotta listen to my words yeah heirs of a cold war that's what we've become inheriting troubles i'm mentally numb crazy i just cannot bear i'm living with something that just isn't fair mental wounds not healing who and what's to blame i'm going off the rails on a crazy train
19,Rock,The Ramones,Blitzkrieg Bop,aey oh let's go aey oh let's go aey oh let's go aey oh let's go they're formin' in a straight line they're goin' through a tight one the kids are losin' their minds the blitzkrieg bop they're pilin' in the back seat they generate steam heat pulsatin' to the back beat the blitzkrieg bop aey oh let's go shoot 'em in the back now what they want i don't know they're all reaved up and ready to go they're formin' in a straight line they're goin' through a tight one the kids are losin' their minds the blitzkrieg bop they're pilin' in the back seat they generate steam heat pulsatin' to the back beat the blitzkrieg bop aey oh let's go shoot 'em in the back now what they want i don't know they're all reaved up and ready to go they're formin' in a straight line they're goin' through a tight one the kids are losin' their minds the blitzkrieg bop they're pilin' in the back seat they generate steam heat pulsatin' to the back beat the blitzkrieg bop aey oh let's go aey oh let's go aey oh let's go aey oh let's go
